niv1	niv2	niv3	libelle	name	size	madi	conso	blocage	dispo	prev	preenreg
PGM 0144			Envir.Prospec.Pol.Défense	PGM 0144	0.0	0.0	5.28168512E8	2.712578E7	8.3442451E8	5.5863693E8	5.7225574E8
PGM 0144	BOP 0144-0001		Dir. gén. des rel. Intl .et de la strat.	BOP 0144-0001	0.0	5.072094E7	1.7059514E7	0.0	3.3661424E7	1.712013E7	1.813981E7
PGM 0144	BOP 0144-0001	UO 0144-0001-DG01	Dir. Gén. des rel. intl. et de la strat.	UO 0144-0001-DG01	5.029958E7	5.029958E7	1.6964822E7	0.0	0.0	1.7022176E7	1.8041614E7
PGM 0144	BOP 0144-0001	UO 0144-0001-DG02	Institut de rech. strat.de l'École mil.	UO 0144-0001-DG02	417100.0	417100.0	94691.62	0.0	0.0	97953.8	98196.61
PGM 0144	BOP 0144-0001	Disponible	Disponible	0144-0001	4261.0	0.0	0.0	0.0	4261.0	0.0	0.0
PGM 0144	BOP 0144-0002		BCAC-CG	BOP 0144-0002	0.0	2.83785216E8	9.7186368E7	0.0	1.86598848E8	9.8339176E7	9.9448136E7
PGM 0144	BOP 0144-0002	UO 0144-0002-DG02	BCAC-CG METIER	UO 0144-0002-DG02	2.83784928E8	2.83784928E8	9.7186368E7	0.0	0.0	9.8339176E7	9.9448136E7
PGM 0144	BOP 0144-0002	Disponible	Disponible	0144-0002	290.0	0.0	0.0	0.0	290.0	0.0	0.0
PGM 0144	BOP 0144-0003		DRSD	BOP 0144-0003	0.0	1.3558632E7	4078217.2	0.0	9480415.0	4687134.0	4742443.5
PGM 0144	BOP 0144-0003	UO 0144-0003-DP02	SOUTIEN	UO 0144-0003-DP02	1.3558632E7	1.3558632E7	4078217.2	0.0	0.0	4687134.0	4742443.5
PGM 0144	BOP 0144-0055		DGA	BOP 0144-0055	0.0	9.9353402E8	4.02958368E8	0.0	5.9057568E8	4.3098336E8	4.42129184E8
PGM 0144	BOP 0144-0055	UO 0144-0055-DG02	SRTS - EA	UO 0144-0055-DG02	3.7E8	3.7E8	2.72741344E8	0.0	0.0	3.00766336E8	3.1191216E8
PGM 0144	BOP 0144-0055	UO 0144-0055-DG03	SRTS - Subventions	UO 0144-0055-DG03	1.7E8	1.7E8	1.30217E8	0.0	0.0	1.30217E8	1.30217E8
PGM 0144	BOP 0144-0055	Disponible	Disponible	0144-0055	4.53534048E8	0.0	0.0	0.0	4.53534048E8	0.0	0.0
PGM 0144	BOP 0144-0063		EMA	BOP 0144-0063	0.0	2.0994192E7	6886058.5	0.0	1.4108134E7	7507159.5	7796215.5
PGM 0144	BOP 0144-0063	UO 0144-0063-EM04	EOTO	UO 0144-0063-EM04	2.0994192E7	2.0994192E7	6886058.5	0.0	0.0	7507159.5	7796215.5
PGM 0144	Blocage		Blocage	0144	2.712578E7	0.0	0.0	2.712578E7	0.0	0.0	0.0
PGM 0146			Équipement des forces	PGM 0146	0.0	0.0	3.75288832E9	3.57489248E8	6.1525356E9	4.3696609E9	4.6974874E9
PGM 0146	BOP 0146-0005		DGA	BOP 0146-0005	0.0	1.5559536E8	7.8879584E7	0.0	7.6715768E7	8.6140496E7	9.0087592E7
PGM 0146	BOP 0146-0005	UO 0146-0005-DG01	DGA Fonctionnement	UO 0146-0005-DG01	4.7095356E7	4.7095356E7	2.2596236E7	0.0	0.0	2.5440098E7	2.6626356E7
PGM 0146	BOP 0146-0005	UO 0146-0005-DG02	DGA Investissements autres	UO 0146-0005-DG02	3500000.0	3500000.0	1528378.9	0.0	0.0	1681443.9	1850482.2
PGM 0146	BOP 0146-0005	UO 0146-0005-DG03	DGA Investissements techniques	UO 0146-0005-DG03	7.0E7	7.0E7	3.6447468E7	0.0	0.0	3.8578652E7	4.0038812E7
PGM 0146	BOP 0146-0005	UO 0146-0005-DG04	DGA / Soutien SCA	UO 0146-0005-DG04	3.5E7	3.5E7	1.8307506E7	0.0	0.0	2.0440306E7	2.157194E7
PGM 0146	BOP 0146-0009		PEPC	BOP 0146-0009	0.0	5000000.0	3876708.8	0.0	1123291.2	4230095.0	4230175.0
PGM 0146	BOP 0146-0009	UO 0146-0009-PE01	Part étrangère Programme civil	UO 0146-0009-PE01	5000000.0	5000000.0	3876708.8	0.0	0.0	4230095.0	4230175.0
PGM 0146	BOP 0146-0017		NBC	BOP 0146-0017	0.0	7.3E8	6.2063514E8	0.0	1.0936484E8	6.234649E8	6.2374042E8
PGM 0146	BOP 0146-0017	UO 0146-0017-NB01	UM/NBC	UO 0146-0017-NB01	7.3E8	7.3E8	6.2063514E8	0.0	0.0	6.234649E8	6.2374042E8
PGM 0146	BOP 0146-0019		HORUS	BOP 0146-0019	0.0	2.8E8	1.52904512E8	0.0	1.27095488E8	1.98705856E8	2.00776192E8
PGM 0146	BOP 0146-0019	UO 0146-0019-HO01	UM/HORUS	UO 0146-0019-HO01	2.8E8	2.8E8	1.52904512E8	0.0	0.0	1.98705856E8	2.00776192E8
PGM 0146	BOP 0146-0021		ESIO	BOP 0146-0021	0.0	7.4201459E8	5.00941888E8	0.0	2.4107272E8	5.4990778E8	5.5350726E8
PGM 0146	BOP 0146-0021	UO 0146-0021-ES01	UM/ESIO	UO 0146-0021-ES01	7.4201459E8	7.4201459E8	5.00941888E8	0.0	0.0	5.4990778E8	5.5350726E8
PGM 0146	BOP 0146-0031		HMI	BOP 0146-0031	0.0	5.8E8	3.55884256E8	0.0	2.24115728E8	3.96657856E8	4.0187792E8
PGM 0146	BOP 0146-0031	UO 0146-0031-HE01	DGAUM/HMI	UO 0146-0031-HE01	5.8E8	5.8E8	3.55884256E8	0.0	0.0	3.96657856E8	4.0187792E8
PGM 0146	BOP 0146-0032		AMS	BOP 0146-0032	0.0	4.502016E8	2.64234208E8	0.0	1.85967376E8	2.6837168E8	3.46007776E8
PGM 0146	BOP 0146-0032	UO 0146-0032-AM01	DGA UM/AMS	UO 0146-0032-AM01	4.502016E8	4.502016E8	2.64234208E8	0.0	0.0	2.6837168E8	3.46007776E8
PGM 0146	BOP 0146-0038		ACE	BOP 0146-0038	0.0	6.6E8	4.21421856E8	0.0	2.38578128E8	4.73886624E8	4.84315552E8
PGM 0146	BOP 0146-0038	UO 0146-0038-AC01	DGA UM/ACE	UO 0146-0038-AC01	6.6E8	6.6E8	4.21421856E8	0.0	0.0	4.73886624E8	4.84315552E8
PGM 0146	BOP 0146-0042		NAV	BOP 0146-0042	0.0	1.0E9	4.6379328E8	0.0	5.3620672E8	7.5920179E8	8.2744813E8
PGM 0146	BOP 0146-0042	UO 0146-0042-NA01	UM/NAV	UO 0146-0042-NA01	1.0E9	1.0E9	4.6379328E8	0.0	0.0	7.5920179E8	8.2744813E8
PGM 0146	BOP 0146-0049		COE	BOP 0146-0049	0.0	9.5E8	6.924919E8	0.0	2.57508096E8	7.5798285E8	9.1186995E8
PGM 0146	BOP 0146-0049	UO 0146-0049-CO01	UM/COE	UO 0146-0049-CO01	9.5E8	9.5E8	6.924919E8	0.0	0.0	7.5798285E8	9.1186995E8
PGM 0146	BOP 0146-0051		TER	BOP 0146-0051	0.0	4.02023232E8	1.97824848E8	0.0	2.04198368E8	2.5111112E8	2.53626544E8
PGM 0146	BOP 0146-0051	UO 0146-0051-TE01	UM/TER	UO 0146-0051-TE01	4.02023232E8	4.02023232E8	1.97824848E8	0.0	0.0	2.5111112E8	2.53626544E8
PGM 0146	Blocage		Blocage	0146	3.57489248E8	0.0	0.0	3.57489248E8	0.0	0.0	0.0
PGM 0146	Disponible		Disponible	0146	3.95058918E9	0.0	0.0	0.0	3.95058918E9	0.0	0.0
PGM 0178			Prép&Emploi des forces	PGM 0178	0.0	0.0	2.91634381E9	2.14447888E8	5.0394629E9	3.05915725E9	3.28311782E9
PGM 0178	BOP 0178-0011		TERRE	BOP 0178-0011	0.0	1.24531251E9	4.14592992E8	0.0	8.3071949E8	4.37271648E8	5.1292192E8
PGM 0178	BOP 0178-0011	UO 0178-0011-AT01	Ressources humaines*	UO 0178-0011-AT01	6.9269E7	6.9269E7	1.6564739E7	0.0	0.0	1.9802442E7	2.1257092E7
PGM 0178	BOP 0178-0011	UO 0178-0011-AT02	Préparation des forces	UO 0178-0011-AT02	7.369E7	7.369E7	2.5251556E7	0.0	0.0	2.6102994E7	2.782799E7
PGM 0178	BOP 0178-0011	UO 0178-0011-AT03	MCO et réalisation matériels terrestres	UO 0178-0011-AT03	5.08987008E8	5.08987008E8	2.11404304E8	0.0	0.0	2.24813776E8	2.62724752E8
PGM 0178	BOP 0178-0011	UO 0178-0011-AT04	EMAT	UO 0178-0011-AT04	1.63184992E8	1.63184992E8	6.9788624E7	0.0	0.0	7.3549584E7	7.8081896E7
PGM 0178	BOP 0178-0011	UO 0178-0011-AT05	MCO et réalisation matériels aéroterrest	UO 0178-0011-AT05	3.25928992E8	3.25928992E8	8.8296256E7	0.0	0.0	8.9636312E7	1.19425824E8
PGM 0178	BOP 0178-0011	UO 0178-0011-AT06	MCO et réalisation matériels nautiques	UO 0178-0011-AT06	6950000.0	6950000.0	3287516.0	0.0	0.0	3366526.8	3604367.5
PGM 0178	BOP 0178-0011	Disponible	Disponible	0178-0011	9.7302512E7	0.0	0.0	0.0	9.7302512E7	0.0	0.0
PGM 0178	BOP 0178-0021		MARINE	BOP 0178-0021	0.0	2.13035085E9	8.8633306E8	0.0	1.24401779E9	9.2377888E8	9.6442355E8
PGM 0178	BOP 0178-0021	UO 0178-0021-MM01	EMM Ressources humaines*	UO 0178-0021-MM01	8.9980848E7	8.9980848E7	4.089984E7	0.0	0.0	4.106956E7	4.162034E7
